dataset,model,metric,key,is_baseline,strategy,use_t_next,renoise_factor,n_timesteps,schedule,mean,std,baseline_mean,delta_vs_baseline
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=linear,False,mask,True,1.0,5,linear,0.8134520884520885,0.0032479862571013133,0.8221437346437346,-0.008691646191646085
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=linear,False,mask,True,1.5,5,linear,0.8336609336609337,0.0010111841298006375,0.8376842751842751,-0.004023341523341384
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=linear,False,mask,True,1.5,5,linear,0.809613022113022,0.0024863875488954764,0.8206388206388207,-0.011025798525798658
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=linear,False,mask,True,1.5,5,linear,0.8093058968058969,0.002303235044134228,0.8221437346437346,-0.012837837837837651
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=linear,False,mask,True,2.0,5,linear,0.8296375921375923,0.00204324906369531,0.8376842751842751,-0.008046683046682879
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=linear,False,mask,True,2.0,5,linear,0.7704545454545455,0.01826282877227836,0.8206388206388207,-0.05018427518427515
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=linear,False,mask,True,2.0,5,linear,0.7948710073710074,0.006294495518660202,0.8221437346437346,-0.027272727272727226
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=quad,False,mask,True,1.0,5,quad,0.831081081081081,0.004142208478933966,0.8376842751842751,-0.006603194103194099
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=quad,False,mask,True,1.0,5,quad,0.8218058968058969,0.009379950805374272,0.8206388206388207,0.0011670761670762309
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=5__sc=quad,False,mask,True,1.0,5,quad,0.8107186732186731,0.004645213159841421,0.8221437346437346,-0.0114250614250615
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=quad,False,mask,True,1.5,5,quad,0.8317874692874693,0.0027685604643088073,0.8376842751842751,-0.005896805896805857
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=quad,False,mask,True,1.5,5,quad,0.8071560196560196,0.00733213027574712,0.8206388206388207,-0.01348280098280108
adult,RF,accuracy,st=mask__tnxt=T__rn=1.5__T=5__sc=quad,False,mask,True,1.5,5,quad,0.809490171990172,0.0038355020308965936,0.8221437346437346,-0.012653562653562545
adult,LR,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=quad,False,mask,True,2.0,5,quad,0.8281019656019655,0.0023959711136169433,0.8376842751842751,-0.009582309582309656
adult,DT,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=quad,False,mask,True,2.0,5,quad,0.7727886977886979,0.022859821658333376,0.8206388206388207,-0.0478501228501228
adult,RF,accuracy,st=mask__tnxt=T__rn=2__T=5__sc=quad,False,mask,True,2.0,5,quad,0.7993243243243244,0.0017546507195437345,0.8221437346437346,-0.02281941031941015
adult,LR,accuracy,st=mask__tnxt=T__rn=1__T=10__sc=const,False,mask,True,1.0,10,const,0.8164312039312038,0.004130350117181913,0.8376842751842751,-0.0212530712530713
adult,DT,accuracy,st=mask__tnxt=T__rn=1__T=10__sc=const,False,mask,True,1.0,10,const,0.8144348894348894,0.0031867118221517838,0.8206388206388207,-0.006203931203931257
adult,RF,accuracy,st=mask__tnxt=T__rn=1__T=10__sc=const,False,mask,True,1.0,10,const,0.8081081081081081,0.002458153907096286,0.8221437346437346,-0.01403562653562651
adult,LR,accuracy,st=mask__tnxt=T__rn=1.5__T=10__sc=const,False,mask,True,1.5,10,const,0.8327702702702704,0.003967745174378057,0.8376842751842751,-0.004914004914004733
adult,DT,accuracy,st=mask__tnxt=T__rn=1.5__T=10__sc=const,False,mask,True,1.5,10,const,0.8308968058968059,0.0048574369993652075,0.8206388206388207,0.01025798525798527
