folder,n_timesteps,guidance,threshold,strategy,renoise_factor,use_t_next,schedule,fid,fid_clip,inception_score,kid
best_cifar10,10,6,0.5,img,1.5,False,linear,144.4478518263263,24.64092343128204,3.4272290411335544,0.11126931942192193
best_cifar10,10,6,0.5,img,1.5,False,quad,144.92230266333115,24.702983872385914,3.4203747805555724,0.11122499488988993
best_cifar10,10,6,0.5,img,1.5,True,const,189.08155269956882,29.757425281629416,2.720346050608577,0.14648726461961958
best_cifar10,10,6,0.5,img,1.5,True,linear,188.71867555401766,29.748051454684926,2.7374196844272847,0.1464337158308309
best_cifar10,10,6,0.5,img,1.5,True,quad,188.37036772399216,29.731054600559787,2.726916534974161,0.14595853950950954
best_cifar10,10,6,0.5,img,2.0,False,const,145.5184410187997,24.72819037590382,3.405796124759982,0.11238725767017019
best_cifar10,10,6,0.5,img,2.0,False,linear,145.00936067691674,24.741905858152478,3.3977071324697485,0.11205717528528522
best_cifar10,10,6,0.5,img,2.0,False,quad,145.24248704391084,24.759137319418073,3.403960394124527,0.1120004202827828
best_cifar10,10,6,0.5,img,2.0,True,const,250.53637329402903,38.32141192140188,2.2265721305215975,0.2098076250975977
best_cifar10,10,6,0.5,img,2.0,True,linear,250.43467889337296,38.37605214868016,2.226682857858894,0.20981971985485479
best_cifar10,10,6,0.5,img,2.0,True,quad,250.58412468213572,38.34771141383515,2.227279437619932,0.20999565079079077
best_cifar10,10,6,0.5,mask,1.0,False,const,152.39130906033768,25.626080153582038,3.265928935235626,0.12215660724974979
best_cifar10,10,6,0.5,mask,1.0,False,linear,219.14027923931215,33.93667364878451,2.249447582249152,0.2128623516041042
best_cifar10,10,6,0.5,mask,1.0,False,quad,219.18603889493076,33.980409547134045,2.251114256589152,0.21299466337337347
best_cifar10,10,6,0.5,mask,1.0,True,const,63.59435854998901,15.084137846321383,5.275729868998912,0.04183652228728725
best_cifar10,10,6,0.5,mask,1.0,True,linear,67.33135148996848,15.818110082559826,5.267520043710571,0.046819637467467465
best_cifar10,10,6,0.5,mask,1.0,True,quad,67.58678936557573,15.841247051775149,5.2127951650088145,0.046635936403903906
best_cifar10,10,6,0.5,mask,1.5,False,const,153.12131077946225,25.718449594110226,3.2533080841488893,0.1233972186461461
best_cifar10,10,6,0.5,mask,1.5,False,linear,218.99726507653406,33.99471979128461,2.2519479579736412,0.21293962259009006
best_cifar10,10,6,0.5,mask,1.5,False,quad,219.62831123157116,33.9313010229697,2.2545845276231598,0.21395565402402406
best_cifar10,10,6,0.5,mask,1.5,True,const,193.57154800801527,30.807167090308035,2.627673716492164,0.15788560315065062
best_cifar10,10,6,0.5,mask,1.5,True,linear,208.806581560028,32.89926660982521,2.4171005859493,0.1781676486236236
best_cifar10,10,6,0.5,mask,1.5,True,quad,208.94226456403783,32.8505235892698,2.4045275817992575,0.1787446597872873
best_cifar10,10,6,0.5,mask,2.0,False,const,153.26580375656658,25.730747162636007,3.241390938431312,0.12415529708958963
best_cifar10,10,6,0.5,mask,2.0,False,linear,219.40008151408094,33.95134642597864,2.2529127550166734,0.21285840173423423
best_cifar10,10,6,0.5,mask,2.0,False,quad,219.15383760721687,33.99304346161842,2.2454880809257487,0.21350560593843845
best_cifar10,10,6,0.5,mask,2.0,True,const,259.24915850850914,40.267143631146425,2.102853671390863,0.23005828732982983
best_cifar10,10,6,0.5,mask,2.0,True,linear,273.1763095599399,43.74494705010284,1.8531575813410124,0.2524187782232232
best_cifar10,10,6,0.5,mask,2.0,True,quad,273.0174147568435,43.75226527510189,1.8545497348683284,0.2517929708333333
